asin,average,rating_count,text_reviews_count,genres,rank,verifiedTrue_count,Format,am_countText_before,am_countText_after
0020291922,4.57,376,376," Religion & Spirituality, Judaism",1866856,273," Kindle Edition,  Paperback,  Hardcover",31539,14789
0020303955,4.43,42,41," Cookbooks, Food & Wine, Cooking by Ingredient",120223,28," Paperback,  Hardcover",4308,2054
0020228716,4.41,22,22," Science Fiction & Fantasy, Science Fiction",11228311,8," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",11213,5704
0020302754,4.23,13,13," Science Fiction & Fantasy, Science Fiction",5555823,3," Unknown Binding,  Kindle Edition,  Paperback",2544,1306
0020223420,4.06,54,54," Literature & Fiction, Fiction",484268,39," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Hardcover",5210,2602
0008237522,3.74,47,47," Literature & Fiction, Fiction",656971,22," Audible Audiobook,  Kindle Edition,  Paperback",5266,2422
0020088221,4.5,181,181," Literature & Fiction, Contemporary",13334775,130," Kindle Edition,  Paperback,  Hardcover",14375,6816
0008220565,4.25,7918,7918,na,151343,6601," Kindle Edition,  Audio CD,  Paperback,  Audible Audiobook,  Hardcover",468913,223207
0007591438,4.0,12,12," Health, Fitness & Dieting, Alternative Medicine",570795,10," Kindle Edition,  Paperback",135,68
0020259506,4.83,12,12," Mystery, Thriller & Suspense, Mystery",463460,11," Kindle Edition,  Paperback,  Hardcover",1014,499
0008239088,4.14,85,85," Literature & Fiction, Fiction",818633,58," Audible Audiobook,  Kindle Edition,  Paperback",8209,3757
0020322305,4.46,26,26," Self-Help, Relationships",805516,17," Kindle Edition,  Paperback,  Hardcover",2733,1246
0020248911,4.64,195,194," Literature & Fiction, Poetry",616263,158," Kindle Edition,  Audio CD,  Paperback,  Hardcover",8764,3987
0020253915,4.54,255,255," Literature & Fiction, Fiction",6253346,178," Kindle Edition,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",31492,15339
0020421303,4.91,11,11," Childrens Books, Biographies",92132,5, Paperback,633,309
0020415559,4.53,17,17,"Art & Photography, PerformingArt",228214,14," Kindle Edition,  Paperback",642,314
0020418302,4.41,17,17," Childrens Books, History",138049,15, Paperback,395,190
0020427212,4.61,33,33," Childrens Books, Activities, Crafts & Games",4282589,15," Mass Market Paperback,  Paperback,  Hardcover",4103,1895
0008153744,4.84,57,57," Biographies & Memoirs, Specific Groups",207149,52," Kindle Edition,  Paperback",1998,937
0020427115,4.44,148,147," Childrens Books, Science Fiction & Fantasy",2079813,77," School & Library Binding,  Kindle Edition,  Library Binding,  Paperback,  Mass Market Paperback,  Hardcover",18522,8489
002025900X,4.64,11,11," Mystery, Thriller & Suspense, Mystery",2429972,6," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",1088,563
0020425201,3.87,67,67," Teen & Young Adult, Science Fiction & Fantasy",1641340,47," Kindle Edition,  Library Binding,  MP3 CD,  Audio CD,  Paperback,  Hardcover",4790,2185
0020345305,4.03,33,33," Politics & Social Sciences, Social Sciences",1496305,21," Kindle Edition,  Paperback,  Hardcover",5534,2445
0020447000,5.0,11,11,na,1771310,7," Paperback,  Hardcover",632,305
0020230001,4.58,12,12," Literature & Fiction, Fiction",3034402,4," Kindle Edition,  Paperback",1843,921
0020360754,4.37,30,30," Literature & Fiction, Short Stories & Anthologies",880715,19," Kindle Edition,  Paperback,  Hardcover",2995,1539
0020421702,4.63,19,19," Childrens Books, Science, Nature & How It Works",166156,14," School & Library Binding,  Paperback",657,325
0020259905,4.62,26,26," Literature & Fiction, United States",1204275,12," Mass Market Paperback,  Paperback,  Hardcover",5008,2433
0020430310,4.69,67,67," Teen & Young Adult, Science Fiction & Fantasy",3267627,24," Mass Market Paperback,  Paperback,  Hardcover,  Audio Cassette",9315,4441
0008175527,4.27,11,11,na,4200664,1," Audible Audiobook,  Kindle Edition,  Paperback",3174,1577
0020315902,4.21,56,56," Science Fiction & Fantasy, Science Fiction",8011446,16," Kindle Edition,  MP3 CD,  Audio CD,  Paperback,  Mass Market Paperback",13628,6632
0020633505,4.74,62,62," Health, Fitness & Dieting, Alternative Medicine",174910,46, Paperback,3487,1721
0020295804,4.9,21,21," Humor & Entertainment, Humor",2248171,4, Paperback,1956,900
0020452705,4.35,169,169," Childrens Books, Classics",5570116,91," School & Library Binding,  Kindle Edition,  Library Binding,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",12982,5906
002045600X,3.14,76,76," Childrens Books, Fairy Tales, Folk Tales & Myths",354413,60," Paperback,  Hardcover",4708,2174
0008160635,3.77,199,199,na,1979974,109," Audible Audiobook,  Kindle Edition,  Paperback,  Hardcover",20503,9828
0020432801,4.67,24,24," Childrens Books, Geography & Cultures",177875,17," Hardcover,  Paperback,  Library Binding",1308,612
0008104999,4.34,38,38," Literature & Fiction, Fiction",7454433,2," Kindle Edition,  Paperback",7376,3420
0020768702,4.8,15,15," Medical Books, Psychology",577249,9," Paperback,  Hardcover",1341,676
0020430906,4.7,50,50," Childrens Books, Animals",221372,34," Library Binding,  Paperback,  Hardcover,  School & Library Binding",2661,1214
0020383142,4.48,27,27," Literature & Fiction, Short Stories & Anthologies",217594,20," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2270,1164
0008197040,4.48,21,21,na,132358,19," Kindle Edition,  Paperback,  Hardcover,  Audio CD",554,281
0020700105,4.37,236,236," Literature & Fiction, Poetry",5840145,180," Kindle Edition,  Library Binding,  Audio Cassette,  Pamphlet,  Paperback,  Mass Market Paperback,  Hardcover",21196,10263
002044995X,4.58,36,36," History, Americas",1050075,25," Kindle Edition,  Paperback,  Hardcover",5026,2514
0008272085,4.54,3247,3247,na,1074810,2883," Kindle Edition,  Audio CD,  Paperback,  Audible Audiobook,  Hardcover",102620,52456
0008171467,4.32,19,19," Literature & Fiction, Fiction",5062328,9," Audible Audiobook,  Kindle Edition,  Paperback",2650,1214
0020425651,4.5,636,636," Teen & Young Adult, Science Fiction & Fantasy",652553,320," School & Library Binding,  Kindle Edition,  Library Binding,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Audio CD Library Binding,  Hardcover",83298,38635
0020125305,4.56,25,25," Humor & Entertainment, Humor",121339,21, Paperback,1243,567
0020519109,4.31,480,480," Literature & Fiction, Classics",2201174,409," Kindle Edition,  Leather Bound,  Audio CD,  Paperback,  Audible Audiobook,  Hardcover",20193,9537
0010004653,4.33,52,52,na,3106221,7, Paperback,8899,4230
0020418205,4.92,12,12," Childrens Books, Literature & Fiction",93077,11," School & Library Binding,  Paperback",139,74
0020322208,4.82,78,78," Cookbooks, Food & Wine, Cooking Education & Reference",781562,59," Kindle Edition,  Paperback,  Hardcover",6671,3193
0020421907,4.63,27,27," Teen & Young Adult, Literature & Fiction",3291767,10," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",4902,2256
0020869304,4.68,28,28," Religion & Spirituality, Religious Studies",1527124,19," Paperback,  Hardcover",2306,1105
0020896913,4.69,13,13," Mystery, Thriller & Suspense, Mystery",1342707,10," Kindle Edition,  MP3 CD,  Paperback,  Hardcover",737,406
0020422601,4.05,37,37," Teen & Young Adult, Science Fiction & Fantasy",2941476,23," Kindle Edition,  Paperback,  Hardcover",2616,1243
0008248958,4.11,336,336," Literature & Fiction, Action & Adventure",92719,324," Audible Audiobook,  Kindle Edition,  Paperback",13937,6487
0020199201,3.59,614,614," Literature & Fiction, History & Criticism",9241774,461," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",59045,28109
0020449313,4.5,240,240," Teen & Young Adult, Literature & Fiction",678658,152," Kindle Edition,  Library Binding,  Unknown Binding,  Leather Bound,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",26917,12680
0020429509,4.82,17,17," Childrens Books, Growing Up & Facts of Life",3245421,7," Paperback,  Hardcover",908,412
0020425716,4.8,30,30, Science Fiction & Fantasy,630455,10, Paperback,3185,1529
0020223722,4.68,312,312," Literature & Fiction, Contemporary",2949144,244," Kindle Edition,  Audio Cassette,  Unknown Binding,  MP3 CD,  Leather Bound,  Paperback,  Mass Market Paperback,  Hardcover",22093,10289
0020838700,4.62,111,111," Christian Books & Bibles, Theology",805647,89," Unknown Binding,  Kindle Edition,  Paperback,  Hardcover",8026,3781
0020955707,4.25,159,158," Religion & Spirituality, Religious Studies",301078,111," Kindle Edition,  Paperback,  Hardcover",22607,11205
0020415133,3.68,37,37," Teen & Young Adult, Mysteries & Thrillers",6253276,5," Mass Market Paperback,  Hardcover",5354,2424
0020834004,4.61,38,38," Christian Books & Bibles, Theology",2395379,28," Kindle Edition,  Paperback,  Hardcover",5939,2840
0020427018,4.62,52,52," Teen & Young Adult, Science Fiction & Fantasy",5623217,24," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",6235,2868
0020746903,4.62,125,125," Politics & Social Sciences, Politics & Government",3730796,75," Kindle Edition,  Paperback,  Hardcover",19684,9653
0008105758,4.76,54,54," Science Fiction & Fantasy, Fantasy",902542,50, Hardcover,2902,1400
0020383509,4.06,34,34," Literature & Fiction, Fiction",6070193,12," Kindle Edition,  Paperback,  Hardcover,  Audio CD",5903,2829
0008209170,3.87,39,39,na,2728728,15," Kindle Edition,  Paperback,  Hardcover",6719,3056
0020519605,4.11,877,877," Literature & Fiction, United States",2713795,632," Kindle Edition,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",79775,37904
0020868707,4.6,2288,2288,na,676936,1718," Textbook Binding,  Kindle Edition,  Audio Cassette,  Unknown Binding,  MP3 CD,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",165522,78306
0020766009,5.0,125,125," Medical Books, Psychology",2294811,73," DVD,  Plastic Comb,  Audio Cassette,  Calendar,  Sheet music,  Paperback,  Ring-bound,  Comic,  Mass Market Paperback,  DVD-ROM,  Hardcover,  Spiral-bound",11101,5197
0020435207,3.77,95,95," Teen & Young Adult, Science Fiction & Fantasy",603769,37," Kindle Edition,  Paperback,  Hardcover,  Audio Cassette",11006,5010
0020838506,4.68,38,38," Christian Books & Bibles, Bible Study & Reference",125046,33," Mass Market Paperback,  Unknown Binding,  Paperback",3218,1533
0020583516,4.44,72,72," Health, Fitness & Dieting, Exercise & Fitness",278668,50," Kindle Edition,  Paperback",4235,1904
0020885105,4.59,80,80," Religion & Spirituality, Worship & Devotion",1170281,59," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",7152,3345
002035620X,4.78,18,18," Science Fiction & Fantasy, Science Fiction",4069067,3," Mass Market Paperback,  Paperback,  Hardcover",4534,2192
0020518102,4.26,168,168," Literature & Fiction, Classics",979343,78," Kindle Edition,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",22165,10808
0020854706,4.18,22,22," Christian Books & Bibles, Theology",3807563,18," Paperback,  Hardcover",867,418
0008158282,4.51,610,610,na,458754,461," Kindle Edition,  Audio CD,  Paperback,  Audible Audiobook,  Hardcover",37334,17483
0020199856,3.81,47,47," Literature & Fiction, Fiction",155671,31," Kindle Edition,  Paperback,  Hardcover",5589,2715
0020360851,4.8,20,20," Cookbooks, Food & Wine, Baking",1226490,12," Paperback,  Hardcover",1802,886
0020436203,4.53,34,34," Childrens Books, Animals",112416,21," Paperback,  Library Binding",3829,1792
0020518706,3.77,1330,1330," Literature & Fiction, Classics",2470029,721," School & Library Binding,  Kindle Edition,  Library Binding,  Audio Cassette,  Leather Bound,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",172545,81516
0020425759,4.02,47,47," Teen & Young Adult, Science Fiction & Fantasy",1792456,19," School & Library Binding,  Kindle Edition,  Library Binding,  Paperback,  Mass Market Paperback,  Audible Audiobook",7066,3312
0008202133,4.67,12,12," Literature & Fiction, Poetry",265925,9," Kindle Edition,  Hardcover",1619,835
002047430X,4.07,15,15," Reference, Writing, Research & Publishing Guides",7377390,7," Mass Market Paperback,  Paperback",2163,1034
0020519001,3.92,967,967," Literature & Fiction, Fiction",2171897,523," Kindle Edition,  Library Binding,  Audio Cassette,  Leather Bound,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",123931,58119
0020444648,4.45,11,11," History, Military",2422563,6," Paperback,  Hardcover",716,350
0023249803,3.95,21,21," Science & Math, Mathematics",1341590,10," Paperback,  Hardcover",2909,1396
002346450X,4.37,186,186," New, Used & Rental Textbooks, Humanities",828577,128," Textbook Binding,  Kindle Edition,  Paperback,  Mass Market Paperback,  Hardcover",21573,10415
0023605103,4.27,15,15," Christian Books & Bibles, Bible Study & Reference",807742,9, Paperback,3519,1643
0023162805,4.82,11,11," Religion & Spirituality, Religious Studies",433917,6," Paperback,  Hardcover",2246,1076
0023895306,4.34,202,201," New, Used & Rental Textbooks, Humanities",123623,155," Audible Audiobook,  Kindle Edition,  Paperback,  Library Binding",15369,7313
002322410X,4.76,17,17," New, Used & Rental Textbooks, Humanities",736844,12, Paperback,1950,955
002353110X,4.57,56,56," New, Used & Rental Textbooks, Humanities",302641,29," Kindle Edition,  Paperback,  Hardcover",17267,8374
0024021504,4.44,18,18," New, Used & Rental Textbooks, Humanities",294355,10," Kindle Edition,  Audio CD,  Paperback,  Audible Audiobook,  Hardcover",2134,1013
0023734809,4.66,62,62," Christian Books & Bibles, Bible Study & Reference",328715,30," Paperback,  Hardcover",6314,2978
0024248606,3.44,131,131," Politics & Social Sciences, Politics & Government",1860181,72," Kindle Edition,  Paperback,  Hardcover",16803,8248
0020298951,3.5,16,16," Science Fiction & Fantasy, Science Fiction",5133941,3," Mass Market Paperback,  Paperback,  Hardcover",4181,2011
0020446500,3.89,158,158," Teen & Young Adult, Mysteries & Thrillers",1694087,50," School & Library Binding,  Library Binding,  Paperback,  Mass Market Paperback,  Hardcover",21851,10036
0025196359,4.33,128,128," Biographies & Memoirs, Historical",74927,81," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",19224,9534
0025174703,4.46,170,170," Business & Money, Small Business & Entrepreneurship",2153333,94," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",25226,11446
0023875100,4.72,18,18," Christian Books & Bibles, Theology",3059759,11," Paperback,  Hardcover",6195,2980
0008194505,3.35,715,715," Mystery, Thriller & Suspense, Thrillers & Suspense",361519,660," Audible Audiobook,  Kindle Edition,  Paperback",29225,12948
0025281607,4.53,30,30," Reference, Dictionaries & Thesauruses",647383,21," Paperback,  Hardcover",2150,1011
0025180401,4.4,15,15," Sports & Outdoors, Water Sports",585849,9," Paperback,  Hardcover",1259,607
0025483358,4.0,12,12," Biographies & Memoirs, True Crime",840092,7," Paperback,  Hardcover",1389,721
0025473905,4.54,144,144,"Art & Photography, PerformingArt",826319,118," Kindle Edition,  MP3 CD,  Hardcover",6478,3003
0025472909,4.68,40,40," History, World",2031159,27," Kindle Edition,  Paperback,  Hardcover",6214,2910
0024181900,4.53,2908,2907," Reference, Writing, Research & Publishing Guides",1032453,2429," School & Library Binding,  Kindle Edition,  Library Binding,  MP3 CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",133467,63848
0023672501,4.41,29,29," Christian Books & Bibles, Bible Study & Reference",1690057,13," Paperback,  Hardcover",3611,1718
0024277800,4.18,432,432," Literature & Fiction, History & Criticism",1480238,283," Kindle Edition,  Audio Cassette,  MP3 CD,  Leather Bound,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",43812,21184
0024288101,4.48,103,103," New, Used & Rental Textbooks, Humanities",612009,53," Kindle Edition,  Paperback,  Hardcover",52572,25679
0023956704,4.35,105,105," New, Used & Rental Textbooks, Humanities",2288958,81," Audible Audiobook,  Kindle Edition,  Paperback,  Hardcover",9446,4680
0025807609,4.24,21,21," Literature & Fiction, Contemporary",16783076,15," Kindle Edition,  Paperback,  Hardcover",1847,890
0025003305,4.03,32,32," Politics & Social Sciences, Philosophy",1052822,12," Kindle Edition,  Paperback,  Hardcover",10205,4859
0025429655,4.67,55,55," Cookbooks, Food & Wine, Cooking by Ingredient",496885,27, Hardcover,4844,2177
002544395X,4.5,16,16," Christian Books & Bibles, Bible Study & Reference",3253188,6," Kindle Edition,  Paperback,  Hardcover",5045,2497
0025225804,4.48,100,100," Reference, Dictionaries & Thesauruses",48868,77, Hardcover,5544,2680
0025853503,4.75,2373,2372," Literature & Fiction, Contemporary",3169165,1720," School & Library Binding,  Kindle Edition,  Library Binding,  Audio Cassette,  Unknown Binding,  MP3 CD,  Leather Bound,  Imitation Leather,  Pamphlet,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",212191,97414
002542730X,4.36,119,119," Humor & Entertainment, Humor",292391,68," CD-ROM,  Kindle Edition,  Paperback,  Hardcover",11047,5395
0025229303,4.5,34,34," New, Used & Rental Textbooks, Humanities",324415,25, Hardcover,2105,1001
0025579207,4.47,19,19," Reference, Encyclopedias & Subject Guides",535712,14, Hardcover,554,276
0025174215,4.08,24,24," History, Americas",1060606,11," Kindle Edition,  Paperback,  Hardcover,  Audio Cassette",2690,1335
0025539108,4.49,57,57,"Art & Photography, Music",1439124,42," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",5202,2394
0026009110,4.7,144,144," Cookbooks, Food & Wine, Regional & International",284251,103," Paperback,  Hardcover",8054,3827
0025976508,4.06,18,18," Literature & Fiction, Fiction",1347400,12," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",1186,610
0026154609,4.15,270,270," Biographies & Memoirs,Art & Literature",568926,229," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",16961,7885
0026124157,4.64,11,11," Sports & Outdoors, Biographies",1303100,9, Hardcover,994,511
0026217457,3.75,32,32," Cookbooks, Food & Wine, Vegetarian & Vegan",1457970,10," Paperback,  Hardcover",3344,1580
0026203103,4.49,1344,1344," History, Military",1153405,1063," School & Library Binding,  Kindle Edition,  Audio Cassette,  Unknown Binding,  MP3 CD,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",117615,57294
0026065002,4.65,31,31,na,5592844,15," Mass Market Paperback,  Paperback",3098,1432
0025882201,4.57,30,30, Literature & Fiction,2971885,23," Mass Market Paperback,  Kindle Edition,  Hardcover",3159,1550
0026128004,3.77,13,13," Biographies & Memoirs, Leaders & Notable People",739427,10, Hardcover,747,387
0025354817,3.79,14,14," Biographies & Memoirs,Art & Literature",1673477,9," Paperback,  Hardcover,  Audio Cassette",1315,637
0025750593,4.26,19,19," Cookbooks, Food & Wine, Cooking Education & Reference",18105212,13," Paperback,  Hardcover",3057,1550
0026276801,4.85,13,13," Reference, Encyclopedias & Subject Guides",1157974,9, Hardcover,679,320
0026045702,4.63,2219,2219," Cookbooks, Food & Wine, Cooking Education & Reference",76930,1701," CD-ROM,  Plastic Comb,  Unknown Binding,  Calendar,  Paperback,  Mass Market Paperback,  Hardcover,  Spiral-bound",134268,60850
0026202905,4.48,111,111," Biographies & Memoirs, Historical",218352,57," Kindle Edition,  MP3 CD,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",21621,10868
0026009102,4.25,1788,1787," Literature & Fiction, Contemporary",788866,927," School & Library Binding,  Kindle Edition,  Library Binding,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",245538,112558
0025429213,4.83,36,36," Sports & Outdoors, Biographies",2021671,23," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2692,1318
0025115707,3.4,15,15,na,947621,7," Paperback,  Hardcover",1798,849
0026154900,4.52,31,31," History, Military",400722,18," Mass Market Paperback,  Hardcover",4671,2249
0026271915,4.29,31,31, Sports & Outdoors,2419327,23," Kindle Edition,  Paperback,  Hardcover",2037,983
0026276615,4.47,47,47," Sports & Outdoors, Miscellaneous",1225513,25," Paperback,  Hardcover",6853,3313
0025708309,4.75,28,28," Literature & Fiction, Essays & Correspondence",1204970,15," Paperback,  Hardcover",3449,1642
0025849409,4.71,17,17," History, Africa",2916037,10," Mass Market Paperback,  Kindle Edition,  Hardcover",2051,1007
0026155109,4.38,13,13," History, Military",1243744,10," Mass Market Paperback,  Hardcover",1392,709
0026336308,4.65,20,20," Biographies & Memoirs, Specific Groups",1462152,17," Mass Market Paperback,  Paperback,  Hardcover",759,352
0026409127,3.65,17,17," New, Used & Rental Textbooks, Humanities",593509,11, Hardcover,1299,644
0025313509,4.34,230,230," Literature & Fiction, Classics",2390286,175," Kindle Edition,  Audio Cassette,  MP3 CD,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",24127,11963
0027110303,4.05,391,391," Teen & Young Adult, Literature & Fiction",8453954,143," Textbook Binding,  School & Library Binding,  Kindle Edition,  Paperback,  Mass Market Paperback,  Hardcover",55807,24906
0027116905,4.66,242,241," Childrens Books, Growing Up & Facts of Life",2244032,186," Kindle Edition,  Paperback,  Hardcover",8811,4213
002722970X,4.7,143,143," Childrens Books, Fairy Tales, Folk Tales & Myths",626440,105," Hardcover,  Paperback,  Library Binding",7937,3645
0027181006,4.79,140,139," Childrens Books, Growing Up & Facts of Life",348529,105," Unknown Binding,  Hardcover,  Paperback,  Library Binding",6494,2803
0027291855,4.88,107,107," Childrens Books, Science Fiction & Fantasy",5418577,78," Library Binding,  Paperback,  Hardcover",5608,2449
0027083314,4.84,37,37, Teen & Young Adult,2635140,26," Audio CD,  Paperback,  Hardcover",2581,1166
0027348407,4.73,73,73," Childrens Books, Activities, Crafts & Games",178842,54," Library Binding,  Paperback,  Hardcover,  Audio Cassette",6882,3236
002573900X,4.58,12,12," Science & Math, Biological Sciences",982943,9, Hardcover,1306,623
0026171805,4.31,16,16," Mystery, Thriller & Suspense",2234016,11," Kindle Edition,  Paperback,  Hardcover",2120,1037
0026894165,4.58,12,12," Childrens Books, Literature & Fiction",13837146,7," Paperback,  Hardcover",940,476
0027426432,4.83,18,18," Childrens Books, Literature & Fiction",670294,13," Paperback,  Hardcover",1251,625
0027346102,4.56,25,25," Teen & Young Adult, Literature & Fiction",1585043,15," Kindle Edition,  Paperback,  Hardcover",1548,684
0027164403,4.77,2589,2589," Childrens Books, Animals",573321,2219," Board book,  Paperback,  Hardcover",71776,33799
0027651908,4.69,39,39, Childrens Books,1173719,30," Kindle Edition,  Paperback,  Hardcover",2490,1166
0027109208,4.97,38,38," Childrens Books,Art, Music & Photography",129311,33," School & Library Binding,  Paperback,  Hardcover",1797,799
0027436225,4.61,309,309," Childrens Books, Animals",2686742,239," Kindle Edition,  Library Binding,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",16868,7845
0027436284,4.86,49,49," Reference, Atlases & Maps",3927100,42," Kindle Edition,  Paperback,  Hardcover",2256,1029
0027229807,4.02,297,296," Childrens Books, Growing Up & Facts of Life",729320,150," Kindle Edition,  Library Binding,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",25855,11825
0027459101,4.64,39,39," Childrens Books, Animals",1269725,31," Kindle Edition,  Paperback,  Library Binding",1373,660
0027746712,4.57,14,14, Childrens Books,593206,4," Audible Audiobook,  Kindle Edition,  Paperback,  Hardcover",1225,590
0026128101,4.62,50,50," History, Europe",570711,24," Mass Market Paperback,  Paperback,  Hardcover",8241,3966
0027684601,4.8,20,20," Childrens Books, Growing Up & Facts of Life",680218,12," Paperback,  Hardcover",1458,695
0027781410,4.73,15,15," Childrens Books, Geography & Cultures",4729115,13," School & Library Binding,  Kindle Edition,  Library Binding,  Paperback,  Hardcover",793,363
002711080X,4.49,162,162," Teen & Young Adult, Literature & Fiction",6045654,87," School & Library Binding,  Kindle Edition,  Paperback,  Mass Market Paperback,  Hardcover",13721,6197
0027375854,4.51,169,169," Childrens Books, Classics",84933,140," Kindle Edition,  Audio CD,  Paperback,  Hardcover",6771,3081
0027197107,4.64,102,102," Childrens Books, Geography & Cultures",1051395,65," School & Library Binding,  Kindle Edition,  Paperback,  Hardcover",7654,3481
0027701301,4.58,2368,2368," Teen & Young Adult, Literature & Fiction",2186365,1597," Kindle Edition,  Library Binding,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",145888,66717
0027826902,4.65,55,55," Literature & Fiction, Poetry",3967123,43," Paperback,  Hardcover",2841,1281
0027888355,4.63,38,38," Childrens Books, Geography & Cultures",709767,27," Audible Audiobook,  Paperback,  Hardcover",3333,1606
0027861317,4.64,11,11," Childrens Books, Geography & Cultures",3418261,2, Paperback,2462,1214
002802253X,4.74,47,47," Engineering & Transportation, Engineering",601316,33," Paperback,  Hardcover",2995,1400
0027379108,4.56,36,36," Childrens Books, Animals",155486,19," Kindle Edition,  Paperback,  Hardcover",3943,1954
0027459004,4.79,61,61," Childrens Books, Growing Up & Facts of Life",642239,48," Board book,  Paperback,  Hardcover",2105,1043
002717350X,4.77,116,116," Childrens Books, Growing Up & Facts of Life",227376,83," Hardcover,  Paperback,  Board book",5547,2586
0027822508,4.54,97,97," Childrens Books, Growing Up & Facts of Life",126431,73," Toy,  Library Binding,  Paperback,  Hardcover",4853,2251
0027868109,4.52,21,21," Childrens Books, Biographies",3842286,12," Hardcover,  Library Binding",1337,635
0027888304,4.22,32,32," Childrens Books, Growing Up & Facts of Life",885665,24," Audible Audiobook,  Paperback,  Hardcover",1852,860
002782683X,4.78,278,278," Childrens Books, Science Fiction & Fantasy",119894,216," School & Library Binding,  Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Hardcover",12503,5795
0028475003,4.29,21,21," Politics & Social Sciences, Philosophy",3444644,12," Kindle Edition,  Paperback,  Hardcover",5463,2646
0028492706,4.34,47,47," New, Used & Rental Textbooks, Humanities",1074802,38," Kindle Edition,  MP3 CD,  Leather Bound,  Audio CD,  Paperback,  Audible Audiobook,  Hardcover",7933,3540
0027354709,4.5,30,30," Childrens Books, Animals",813654,21," Kindle Edition,  Paperback,  Hardcover",2123,993
0027860159,4.94,131,131," Childrens Books, Growing Up & Facts of Life",76149,97," Paperback,  Hardcover",6227,2975
0027751708,4.75,16,16,na,2755082,6," Paperback,  Hardcover",2077,901
0027772403,3.09,11,11," Childrens Books, Literature & Fiction",16470151,2," Kindle Edition,  Paperback,  Hardcover",3004,1383
0027731006,3.95,19,19," Childrens Books, Fairy Tales, Folk Tales & Myths",696991,10," Library Binding,  Kindle Edition,  Paperback,  Hardcover",1762,788
0028608135,4.06,127,127," Science & Math, Nature & Ecology",1496117,76," Kindle Edition,  Paperback,  Hardcover",14306,6807
0027858405,4.2,20,20," Childrens Books, Growing Up & Facts of Life",9390121,11," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2974,1436
0028603508,4.61,23,23," Cookbooks, Food & Wine, Regional & International",193080,18, Hardcover,1207,560
0028613279,3.81,27,27," Cookbooks, Food & Wine, Regional & International",131998,19," Paperback,  Hardcover",1862,983
0028603958,4.51,1931,1931," Cookbooks, Food & Wine, Regional & International",120255,1597," Kindle Edition,  Library Binding,  Plastic Comb,  Spiral-bound,  Hardcover,  Paperback,  Board book,  Mass Market Paperback,  Ring-bound,  Hardcover-spiral",95052,42665
0028604199,4.45,22,22," Humor & Entertainment, Humor",267036,14," Kindle Edition,  Paperback,  Hardcover",1991,988
0028609883,4.12,43,43," Cookbooks, Food & Wine, Regional & International",361198,20, Hardcover,3156,1482
0028610105,4.5,1615,1615," Cookbooks, Food & Wine, Cooking Education & Reference",127118,1102," Calendar,  Kindle Edition,  Paperback,  Hardcover",141828,65755
0028616731,4.52,209,209," Reference, Dictionaries & Thesauruses",4659705,168," Leather Bound,  Paperback,  Hardcover",10972,5161
